"Alpha","Beta","Gamma","b","products_1","charge_pdt_1","products_2","charge_pdt_2","Product_3","charge_pdt_3","react_type"
"90","0","0","4.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.20","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.30","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.40","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.60","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.70","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.80","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","4.90","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.20","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.30","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.40","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.60","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.70","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.80","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","5.90","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.20","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.30","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.40","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.60","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.70","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.80","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","6.90","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.20","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.30","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.40","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.60","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.70","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.80","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","7.90","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.20","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.30","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.40","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.60","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.70","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.80","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","8.90","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","9.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","9.10","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","9.20","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","9.30","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","9.40","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","9.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","10.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","10.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","11.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","11.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","12.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","12.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","13.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","13.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","14.00","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","14.50","C2H4","NA","NA","NA","P","NA","1"
"90","0","0","15.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","0.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","0.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","0.20","C2H3","0.833347625","H6","-0.00928127","P","0.175933645","4A"
"90","180","0","0.30","C2H3","0.863006039","H6","0.009389313","P","0.127604648","4A"
"90","180","0","0.40","C2H3","0.974352666","H6","0.027638307","P","-0.001990973","4A"
"90","180","0","0.50","C2H3","0.904432635","H6","0.063092709","P","0.032474655","4A"
"90","180","0","0.60","C2H3","0.840936912","H6","-0.010644771","P","0.169707858","4A"
"90","180","0","0.70","C2H3","0.886106676","H6","0.000750127","P","0.113143196","4A"
"90","180","0","0.80","C2H3","0.946986626","H6","-0.000568436","P","0.053581809","4A"
"90","180","0","0.90","C2H3","0.850176997","H6","-0.005569437","P","0.15539244","4A"
"90","180","0","1.00","C2H3","0.818607015","H6","0.017876215","P","0.16351677","4A"
"90","180","0","1.10","C2H3","0.862851008","H6","0.014244903","P","0.122904089","4A"
"90","180","0","1.20","C2H3","0.956138692","H6","0.007247143","P","0.036614165","4A"
"90","180","0","1.30","C2H3","0.990030023","H6P","0.009969977","NA","NA","4B"
"90","180","0","1.40","C2H3","0.998052974","H6P","0.001947026","NA","NA","4B"
"90","180","0","1.50","C2H3","0.989647182","H6P","0.010352818","NA","NA","4B"
"90","180","0","1.60","C2H3","0.868132344","H6","0.126118541","P","0.005749115","4A"
"90","180","0","1.70","C2H3","0.670803543","H6","0.317388925","P","0.011807532","4A"
"90","180","0","1.80","C2H3","0.975438086","H6","0.013336059","P","0.011225855","4A"
"90","180","0","1.90","CH2CHP","0.976995703","H6","0.023004297","NA","NA","2"
"90","180","0","2.00","CHCHP","0.960108181","H6","0.010487714","H3","0.029404105","4D"
"90","180","0","2.10","CHCH","0.931078733","H6","0.036631716","H3","0.032289551","5A"
"90","180","0","2.20","C2H3","0.905921216","H6","-0.007676682","P","0.101755466","4A"
"90","180","0","2.30","C2H3","0.781950245","H6","0.021437189","P","0.196612565","4A"
"90","180","0","2.40","C2H3","0.596313744","H6","-0.021651366","P","0.425337622","4A"
"90","180","0","2.50","C2H3","0.833212339","H6","0.004340872","P","0.16244679","4A"
"90","180","0","2.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","2.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","2.80","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","2.90","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.20","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.30","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.40","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.80","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","3.90","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.20","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.30","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.40","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.80","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","4.90","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.20","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.30","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.40","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.80","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","5.90","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.20","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.30","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.40","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.80","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","6.90","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","7.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","7.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","7.20","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","7.30","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","7.40","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","7.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","7.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","7.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","7.80","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","7.90","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","8.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","8.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","8.20","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","8.30","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","8.40","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","8.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","8.60","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","8.70","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","8.80","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","8.90","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","9.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","9.10","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","9.20","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","9.30","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","9.40","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","9.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","10.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","10.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","11.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","11.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","12.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","12.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","13.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","13.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","14.00","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","14.50","C2H4","NA","NA","NA","P","NA","1"
"90","180","0","15.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","0.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","0.10","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","0.20","C2H3","0.833347625","H6","-0.00928127","P","0.175933645","4A"
"270","0","0","0.30","C2H3","0.863006039","H6","0.009389313","P","0.127604648","4A"
"270","0","0","0.40","C2H3","0.974352666","H6","0.027638307","P","-0.001990973","4A"
"270","0","0","0.50","C2H3","0.904432635","H6","0.063092709","P","0.032474655","4A"
"270","0","0","0.60","C2H3","0.840936912","H6","-0.010644771","P","0.169707858","4A"
"270","0","0","0.70","C2H3","0.886106676","H6","0.000750127","P","0.113143196","4A"
"270","0","0","0.80","C2H3","0.946986626","H6","-0.000568436","P","0.053581809","4A"
"270","0","0","0.90","C2H3","0.850176997","H6","-0.005569437","P","0.15539244","4A"
"270","0","0","1.00","C2H3","0.818607015","H6","0.017876215","P","0.16351677","4A"
"270","0","0","1.10","C2H3","0.862851008","H6","0.014244903","P","0.122904089","4A"
"270","0","0","1.20","C2H3","0.956138692","H6","0.007247143","P","0.036614165","4A"
"270","0","0","1.30","C2H3","0.990030023","H6P","0.009969977","NA","NA","4B"
"270","0","0","1.40","C2H3","0.998052974","H6P","0.001947026","NA","NA","4B"
"270","0","0","1.50","C2H3","0.989647182","H6P","0.010352818","NA","NA","4B"
"270","0","0","1.60","C2H3","0.868132344","H6","0.126118541","P","0.005749115","4A"
"270","0","0","1.70","C2H3","0.670803543","H6","0.317388925","P","0.011807532","4A"
"270","0","0","1.80","C2H3","0.975438086","H6","0.013336059","P","0.011225855","4A"
"270","0","0","1.90","CH2CHP","0.976995703","H6","0.023004297","NA","NA","2"
"270","0","0","2.00","CHCHP","0.960108181","H6","0.010487714","H3","0.029404105","4D"
"270","0","0","2.10","CHCH","0.931078733","H6","0.036631716","H3","0.032289551","5A"
"270","0","0","2.20","C2H3","0.905921216","H6","-0.007676682","P","0.101755466","4A"
"270","0","0","2.30","C2H3","0.781950245","H6","0.021437189","P","0.196612565","4A"
"270","0","0","2.40","C2H3","0.596313744","H6","-0.021651366","P","0.425337622","4A"
"270","0","0","2.50","C2H3","0.833212339","H6","0.004340872","P","0.16244679","4A"
"270","0","0","2.60","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","2.70","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","2.80","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","2.90","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","3.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","3.10","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","3.20","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","3.30","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","3.40","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","3.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","3.60","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","3.70","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","3.80","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","3.90","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","4.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","4.10","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","4.20","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","4.30","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","4.40","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","4.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","4.60","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","4.70","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","4.80","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","4.90","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","5.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","5.10","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","5.20","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","5.30","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","5.40","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","5.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","5.60","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","5.70","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","5.80","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","5.90","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","6.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","6.10","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","6.20","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","6.30","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","6.40","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","6.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","6.60","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","6.70","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","6.80","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","6.90","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","7.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","7.10","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","7.20","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","7.30","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","7.40","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","7.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","7.60","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","7.70","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","7.80","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","7.90","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","8.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","8.10","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","8.20","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","8.30","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","8.40","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","8.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","8.60","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","8.70","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","8.80","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","8.90","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","9.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","9.10","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","9.20","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","9.30","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","9.40","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","9.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","10.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","10.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","11.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","11.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","12.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","12.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","13.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","13.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","14.00","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","14.50","C2H4","NA","NA","NA","P","NA","1"
"270","0","0","15.00","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","0.00","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","0.10","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","0.20","C2H3","0.833347625","H6","-0.00928127","P","0.175933645","4A"
"270","180","0","0.30","C2H3","0.863006039","H6","0.009389313","P","0.127604648","4A"
"270","180","0","0.40","C2H3","0.974352666","H6","0.027638307","P","-0.001990973","4A"
"270","180","0","0.50","C2H3","0.904432635","H6","0.063092709","P","0.032474655","4A"
"270","180","0","0.60","C2H3","0.840936912","H6","-0.010644771","P","0.169707858","4A"
"270","180","0","0.70","C2H3","0.886106676","H6","0.000750127","P","0.113143196","4A"
"270","180","0","0.80","C2H3","0.946986626","H6","-0.000568436","P","0.053581809","4A"
"270","180","0","0.90","C2H3","0.850176997","H6","-0.005569437","P","0.15539244","4A"
"270","180","0","1.00","C2H3","0.818607015","H6","0.017876215","P","0.16351677","4A"
"270","180","0","1.10","C2H3","0.862851008","H6","0.014244903","P","0.122904089","4A"
"270","180","0","1.20","C2H3","0.956138692","H6","0.007247143","P","0.036614165","4A"
"270","180","0","1.30","C2H3","0.990030023","H6P","0.009969977","NA","NA","4B"
"270","180","0","1.40","C2H3","0.998052974","H6P","0.001947026","NA","NA","4B"
"270","180","0","1.50","C2H3","0.989647182","H6P","0.010352818","NA","NA","4B"
"270","180","0","1.60","C2H3","0.868132344","H6","0.126118541","P","0.005749115","4A"
"270","180","0","1.70","C2H3","0.670803543","H6","0.317388925","P","0.011807532","4A"
"270","180","0","1.80","C2H3","0.975438086","H6","0.013336059","P","0.011225855","4A"
"270","180","0","1.90","CH2CHP","0.976995703","H6","0.023004297","NA","NA","2"
"270","180","0","2.00","CHCHP","0.960108181","H6","0.010487714","H3","0.029404105","4D"
"270","180","0","2.10","CHCH","0.931078733","H6","0.036631716","H3","0.032289551","5A"
"270","180","0","2.20","C2H3","0.905921216","H6","-0.007676682","P","0.101755466","4A"
"270","180","0","2.30","C2H3","0.781950245","H6","0.021437189","P","0.196612565","4A"
"270","180","0","2.40","C2H3","0.596313744","H6","-0.021651366","P","0.425337622","4A"
"270","180","0","2.50","C2H3","0.833212339","H6","0.004340872","P","0.16244679","4A"
"270","180","0","2.60","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","2.70","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","2.80","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","2.90","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","3.00","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","3.10","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","3.20","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","3.30","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","3.40","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","3.50","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","3.60","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","3.70","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","3.80","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","3.90","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","4.00","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","4.10","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","4.20","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","4.30","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","4.40","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","4.50","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","4.60","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","4.70","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","4.80","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","4.90","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","5.00","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","5.10","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","5.20","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","5.30","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","5.40","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","5.50","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","5.60","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","5.70","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","5.80","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","5.90","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","6.00","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","6.10","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","6.20","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","6.30","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","6.40","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","6.50","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","6.60","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","6.70","C2H4","NA","NA","NA","P","NA","1"
"270","180","0","6.80","C2H4","NA","NA","NA","P","NA","1"
